visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,y,x,bgra,gw_param_keys 1,gw_param_values 1,label 1,y,x,bgra,gw_param_keys 2,gw_param_values 2,label 2,y,x,bgra,gw_param_keys 3,gw_param_values 3,label 3,y,x,bgra,gw_param_keys 4,gw_param_values 4,label 4,y,x,bgra,gw_param_keys 5,gw_param_values 5,label 5,y,x,bgra,gw_param_keys 6,gw_param_values 6,label 6,y,x,bgra,gw_param_keys 7,gw_param_values 7,label 7,y,x,bgra,gw_param_keys 8,gw_param_values 8,label 8,y,x,bgra,gw_param_keys 9,gw_param_values 9,label 9,y,x,bgra,gw_param_keys 10,gw_param_values 10,label 10,y,x,bgra,gw_param_keys 11,gw_param_values 11,label 11,y,x,bgra,gw_param_keys 12,gw_param_values 12,label 12,y,x,bgra
ymin,auto,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_unknown1,NONE_STR,NONE_STR,,3.1029224714790122,,plot_unknown1,NONE_STR,NONE_STR,,6.2058449429580245,,plot_unknown1,NONE_STR,NONE_STR,,9.308767414437037,,plot_unknown1,NONE_STR,NONE_STR,,12.411689885916049,,plot_unknown1,NONE_STR,NONE_STR,,15.51461235739506,,plot_unknown1,NONE_STR,NONE_STR,,18.617534828874074,,plot_unknown1,NONE_STR,NONE_STR,,21.720457300353086,,plot_unknown1,NONE_STR,NONE_STR,,24.823379771832098,,plot_unknown1,NONE_STR,NONE_STR,,27.92630224331111,,plot_unknown1,NONE_STR,NONE_STR,,31.02922471479012,,plot_unknown1,NONE_STR,NONE_STR,,34.13214718626914,,plot_unknown1,NONE_STR,NONE_STR,,37.23506965774815,,plot_unknown1,NONE_STR,NONE_STR,,40.33799212922716,
ymax,auto,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_group_style,NONE_STR,NONE_STR,,7.8495492608099715,,plot_group_style,NONE_STR,NONE_STR,,15.699098521619943,,plot_group_style,NONE_STR,NONE_STR,,23.548647782429917,,plot_group_style,NONE_STR,NONE_STR,,31.398197043239886,,plot_group_style,NONE_STR,NONE_STR,,39.247746304049855,,plot_group_style,NONE_STR,NONE_STR,,47.097295564859834,,plot_group_style,NONE_STR,NONE_STR,,54.9468448256698,,plot_group_style,NONE_STR,NONE_STR,,62.79639408647977,,plot_group_style,NONE_STR,NONE_STR,,70.64594334728974,,plot_group_style,NONE_STR,NONE_STR,,78.49549260809971,,plot_group_style,NONE_STR,NONE_STR,,86.34504186890969,,plot_group_style,NONE_STR,NONE_STR,,94.19459112971967,,plot_group_style,NONE_STR,NONE_STR,,102.04414039052963,
,,,,,,,,plot_use_automatic_legends,True,NONE_STR,,7.162213204002109,,plot_use_automatic_legends,True,NONE_STR,,14.324426408004218,,plot_use_automatic_legends,True,NONE_STR,,21.48663961200633,,plot_use_automatic_legends,True,NONE_STR,,28.648852816008436,,plot_use_automatic_legends,True,NONE_STR,,35.81106602001054,,plot_use_automatic_legends,True,NONE_STR,,42.97327922401266,,plot_use_automatic_legends,True,NONE_STR,,50.13549242801476,,plot_use_automatic_legends,True,NONE_STR,,57.29770563201687,,plot_use_automatic_legends,True,NONE_STR,,64.45991883601897,,plot_use_automatic_legends,True,NONE_STR,,71.62213204002109,,plot_use_automatic_legends,True,NONE_STR,,78.7843452440232,,plot_use_automatic_legends,True,NONE_STR,,85.94655844802531,,plot_use_automatic_legends,True,NONE_STR,,93.10877165202741,
,,,,,,,,,,,,4.061695553391381,,,,,,8.123391106782762,,,,,,12.185086660174143,,,,,,16.246782213565524,,,,,,20.308477766956905,,,,,,24.370173320348286,,,,,,28.431868873739667,,,,,,32.49356442713105,,,,,,36.55525998052243,,,,,,40.61695553391381,,,,,,44.67865108730519,,,,,,48.74034664069657,,,,,,52.802042194087946,
,,,,,,,,,,,,3.9091248360355033,,,,,,7.818249672071007,,,,,,11.727374508106509,,,,,,15.636499344142013,,,,,,19.545624180177516,,,,,,23.454749016213018,,,,,,27.36387385224852,,,,,,31.272998688284027,,,,,,35.18212352431953,,,,,,39.09124836035503,,,,,,43.000373196390534,,,,,,46.909498032426036,,,,,,50.81862286846154,
,,,,,,,,,,,,3.917022549267169,,,,,,7.834045098534338,,,,,,11.751067647801507,,,,,,15.668090197068675,,,,,,19.585112746335845,,,,,,23.502135295603015,,,,,,27.419157844870185,,,,,,31.33618039413735,,,,,,35.253202943404524,,,,,,39.17022549267169,,,,,,43.087248041938864,,,,,,47.00427059120603,,,,,,50.921293140473196,
,,,,,,,,,,,,4.521211214797688,,,,,,9.042422429595376,,,,,,13.563633644393066,,,,,,18.084844859190753,,,,,,22.60605607398844,,,,,,27.127267288786133,,,,,,31.64847850358382,,,,,,36.169689718381505,,,,,,40.69090093317919,,,,,,45.21211214797688,,,,,,49.73332336277457,,,,,,54.254534577572265,,,,,,58.77574579236995,
,,,,,,,,,,,,5.623782158161189,,,,,,11.247564316322379,,,,,,16.871346474483566,,,,,,22.495128632644757,,,,,,28.11891079080595,,,,,,33.74269294896713,,,,,,39.36647510712832,,,,,,44.990257265289515,,,,,,50.614039423450706,,,,,,56.2378215816119,,,,,,61.86160373977308,,,,,,67.48538589793426,,,,,,73.10916805609546,
,,,,,,,,,,,,5.159725093210579,,,,,,10.319450186421157,,,,,,15.479175279631736,,,,,,20.638900372842315,,,,,,25.798625466052894,,,,,,30.958350559263472,,,,,,36.11807565247405,,,,,,41.27780074568463,,,,,,46.43752583889521,,,,,,51.59725093210579,,,,,,56.75697602531636,,,,,,61.916701118526944,,,,,,67.07642621173753,
,,,,,,,,,,,,4.456145700990209,,,,,,8.912291401980418,,,,,,13.368437102970628,,,,,,17.824582803960837,,,,,,22.28072850495105,,,,,,26.736874205941255,,,,,,31.193019906931468,,,,,,35.649165607921674,,,,,,40.10531130891189,,,,,,44.5614570099021,,,,,,49.017602710892305,,,,,,53.47374841188251,,,,,,57.929894112872724,
,,,,,,,,,,,,6.059264473611897,,,,,,12.118528947223794,,,,,,18.17779342083569,,,,,,24.237057894447588,,,,,,30.296322368059485,,,,,,36.35558684167138,,,,,,42.414851315283286,,,,,,48.474115788895176,,,,,,54.53338026250708,,,,,,60.59264473611897,,,,,,66.65190920973087,,,,,,72.71117368334276,,,,,,78.77043815695467,
,,,,,,,,,,,,3.6974693032602093,,,,,,7.394938606520419,,,,,,11.092407909780627,,,,,,14.789877213040837,,,,,,18.487346516301045,,,,,,22.184815819561255,,,,,,25.882285122821465,,,,,,29.579754426081674,,,,,,33.277223729341884,,,,,,36.97469303260209,,,,,,40.6721623358623,,,,,,44.36963163912251,,,,,,48.06710094238272,
,,,,,,,,,,,,4.4607232426760905,,,,,,8.921446485352181,,,,,,13.382169728028273,,,,,,17.842892970704362,,,,,,22.303616213380455,,,,,,26.764339456056547,,,,,,31.225062698732636,,,,,,35.685785941408724,,,,,,40.14650918408482,,,,,,44.60723242676091,,,,,,49.067955669437,,,,,,53.528678912113094,,,,,,57.989402154789175,
,,,,,,,,,,,,4.831809216468459,,,,,,9.663618432936918,,,,,,14.495427649405375,,,,,,19.327236865873836,,,,,,24.159046082342293,,,,,,28.99085529881075,,,,,,33.82266451527921,,,,,,38.65447373174767,,,,,,43.48628294821613,,,,,,48.318092164684586,,,,,,53.14990138115304,,,,,,57.9817105976215,,,,,,62.81351981408996,
,,,,,,,,,,,,5.28034992108518,,,,,,10.56069984217036,,,,,,15.841049763255539,,,,,,21.12139968434072,,,,,,26.4017496054259,,,,,,31.682099526511077,,,,,,36.962449447596256,,,,,,42.24279936868144,,,,,,47.52314928976662,,,,,,52.8034992108518,,,,,,58.08384913193697,,,,,,63.364199053022155,,,,,,68.64454897410734,
,,,,,,,,,,,,6.925879806965068,,,,,,13.851759613930136,,,,,,20.777639420895206,,,,,,27.703519227860273,,,,,,34.62939903482534,,,,,,41.55527884179041,,,,,,48.481158648755475,,,,,,55.407038455720546,,,,,,62.33291826268561,,,,,,69.25879806965068,,,,,,76.18467787661575,,,,,,83.11055768358082,,,,,,90.0364374905459,
,,,,,,,,,,,,3.9983689107917986,,,,,,7.996737821583597,,,,,,11.995106732375396,,,,,,15.993475643167194,,,,,,19.991844553958995,,,,,,23.99021346475079,,,,,,27.98858237554259,,,,,,31.98695128633439,,,,,,35.985320197126185,,,,,,39.98368910791799,,,,,,43.982058018709786,,,,,,47.98042692950158,,,,,,51.97879584029339,
,,,,,,,,,,,,5.571172192068058,,,,,,11.142344384136116,,,,,,16.713516576204174,,,,,,22.284688768272233,,,,,,27.85586096034029,,,,,,33.42703315240835,,,,,,38.9982053444764,,,,,,44.569377536544465,,,,,,50.14054972861253,,,,,,55.71172192068058,,,,,,61.282894112748636,,,,,,66.8540663048167,,,,,,72.42523849688476,
,,,,,,,,,,,,5.962072844310212,,,,,,11.924145688620424,,,,,,17.886218532930638,,,,,,23.848291377240848,,,,,,29.810364221551062,,,,,,35.772437065861276,,,,,,41.73450991017148,,,,,,47.696582754481696,,,,,,53.65865559879191,,,,,,59.620728443102124,,,,,,65.58280128741234,,,,,,71.54487413172255,,,,,,77.50694697603276,
,,,,,,,,,,,,3.2322520635999887,,,,,,6.4645041271999775,,,,,,9.696756190799967,,,,,,12.929008254399955,,,,,,16.161260317999943,,,,,,19.393512381599933,,,,,,22.62576444519992,,,,,,25.85801650879991,,,,,,29.090268572399896,,,,,,32.32252063599989,,,,,,35.55477269959987,,,,,,38.78702476319987,,,,,,42.01927682679985,
,,,,,,,,,,,,1.6075448519014384,,,,,,4.607544851901438,,,,,,7.607544851901438,,,,,,10.607544851901439,,,,,,13.607544851901439,,,,,,16.607544851901437,,,,,,19.607544851901437,,,,,,22.607544851901437,,,,,,25.607544851901437,,,,,,28.607544851901437,,,,,,31.607544851901437,,,,,,34.60754485190144,,,,,,37.60754485190144,
,,,,,,,,,,,,9.170524123687292,,,,,,17.17052412368729,,,,,,25.17052412368729,,,,,,33.170524123687294,,,,,,41.170524123687294,,,,,,49.170524123687294,,,,,,57.170524123687294,,,,,,65.17052412368729,,,,,,73.17052412368729,,,,,,81.17052412368729,,,,,,89.17052412368729,,,,,,97.17052412368729,,,,,,105.17052412368729,
