visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,theta,r,bgra,gw_param_keys 1,gw_param_values 1,label 1,theta,r,bgra,gw_param_keys 2,gw_param_values 2,label 2,theta,r,bgra,gw_param_keys 3,gw_param_values 3,label 3,theta,r,bgra,gw_param_keys 4,gw_param_values 4,label 4,theta,r,bgra,gw_param_keys 5,gw_param_values 5,label 5,theta,r,bgra,gw_param_keys 6,gw_param_values 6,label 6,theta,r,bgra,gw_param_keys 7,gw_param_values 7,label 7,theta,r,bgra,gw_param_keys 8,gw_param_values 8,label 8,theta,r,bgra,gw_param_keys 9,gw_param_values 9,label 9,theta,r,bgra,gw_param_keys 10,gw_param_values 10,label 10,theta,r,bgra,gw_param_keys 11,gw_param_values 11,label 11,theta,r,bgra,gw_param_keys 12,gw_param_values 12,label 12,theta,r,bgra
ymin,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,0.8675027297971991,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,0.9428281015291118,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,2.4684599122617734,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,3.6584826523017266,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,3.774877892323006,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,5.4318939350926545,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,6.433384543619787,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,6.629999138824468,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,8.385511184065665,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,9.196233072255527,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,9.50846554164668,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,11.324979796188863,,plot_unknown1,NONE_STR,NONE_STR,124.13793103448276,11.95161650855577,
ymax,360,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,0.7972767540696859,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,0.9075873423603867,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,2.7413621014927414,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,3.2596485893599265,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,3.9645480156179893,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,5.713975409128609,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,5.760144673422375,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,7.234901417249307,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,8.338620150375279,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,8.552495250170132,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,10.429453293295728,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,10.781473530647702,,plot_group_style,Standard Deviation,NONE_STR,136.55172413793105,11.684606769578533,
,,,,,,,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,0.7819731557451142,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,1.1066364320901954,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,3.0718553883953725,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,3.1829404095479683,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,4.83092568656315,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,5.699236872151592,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,6.366786482499341,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,8.158058177161223,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,8.224352783138666,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,10.123043299129854,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,10.606507733654647,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,11.68286950577373,,plot_use_automatic_legends,True,NONE_STR,148.96551724137933,13.158400682462556,
,,,,,,,,,,,161.37931034482762,0.46832274060221013,,,,,161.37931034482762,0.814756843471558,,,,,161.37931034482762,2.3398604256811057,,,,,161.37931034482762,2.2529129058772694,,,,,161.37931034482762,4.042626584596663,,,,,161.37931034482762,3.887543493296925,,,,,161.37931034482762,5.5417848563033605,,,,,161.37931034482762,5.71159887568525,,,,,161.37931034482762,6.885532999913493,,,,,161.37931034482762,7.640779264554171,,,,,161.37931034482762,8.185447180096292,,,,,161.37931034482762,9.547913435837353,,,,,161.37931034482762,9.570979659721852,
,,,,,,,,,,,173.79310344827584,0.3815677259606677,,,,,173.79310344827584,1.0475312133918813,,,,,173.79310344827584,2.14217541531408,,,,,173.79310344827584,2.600088316214654,,,,,173.79310344827584,3.8953180123319955,,,,,173.79310344827584,4.162462192895298,,,,,173.79310344827584,5.636407246667589,,,,,173.79310344827584,5.738984706425755,,,,,173.79310344827584,7.361418449816716,,,,,173.79310344827584,7.333326145263955,,,,,173.79310344827584,9.067078744144059,,,,,173.79310344827584,8.948323604724749,,,,,173.79310344827584,10.75102007900382,
,,,,,,,,,,,186.20689655172416,0.3897117378639319,,,,,186.20689655172416,1.4950277142573174,,,,,186.20689655172416,2.171662976159719,,,,,186.20689655172416,3.4850295390837434,,,,,186.20689655172416,3.961079306791004,,,,,186.20689655172416,5.465214590052298,,,,,186.20689655172416,5.762549000104608,,,,,186.20689655172416,7.43125100417104,,,,,186.20689655172416,7.5800967246046795,,,,,186.20689655172416,9.379468492982038,,,,,186.20689655172416,9.416995357926535,,,,,186.20689655172416,11.307029961170445,,,,,186.20689655172416,11.275612950715972,
,,,,,,,,,,,198.6206896551724,0.23906612289856766,,,,,198.6206896551724,1.6000208835299976,,,,,198.6206896551724,1.7823061648212275,,,,,198.6206896551724,3.5766425481258417,,,,,198.6206896551724,3.494317732907226,,,,,198.6206896551724,5.356789687707741,,,,,198.6206896551724,5.409937188202084,,,,,198.6206896551724,6.947512032320971,,,,,198.6206896551724,7.480966771593508,,,,,198.6206896551724,8.433109370453606,,,,,198.6206896551724,9.595830318412267,,,,,198.6206896551724,9.94075292617198,,,,,198.6206896551724,11.625075565788261,
,,,,,,,,,,,211.0344827586207,0.27364780467101646,,,,,211.0344827586207,2.004605488742066,,,,,211.0344827586207,2.09500749285302,,,,,211.0344827586207,4.039543432116555,,,,,211.0344827586207,4.447179115517505,,,,,211.0344827586207,5.634488890345193,,,,,211.0344827586207,7.022560240413575,,,,,211.0344827586207,7.286909506167824,,,,,211.0344827586207,9.27623586060651,,,,,211.0344827586207,9.433166305031456,,,,,211.0344827586207,11.00532283092279,,,,,211.0344827586207,11.98458201921984,,,,,211.0344827586207,12.564671802947144,
,,,,,,,,,,,223.44827586206898,0.06534786302116719,,,,,223.44827586206898,1.8176618918213199,,,,,223.44827586206898,1.8465117497798187,,,,,223.44827586206898,3.190849879003486,,,,,223.44827586206898,4.3485750698362775,,,,,223.44827586206898,4.46177229341651,,,,,223.44827586206898,6.278227646213597,,,,,223.44827586206898,6.66609551947752,,,,,223.44827586206898,7.4250014034423995,,,,,223.44827586206898,9.0737509207384,,,,,223.44827586206898,9.059417494703657,,,,,223.44827586206898,10.570021874442535,,,,,223.44827586206898,11.529513252602559,
,,,,,,,,,,,235.86206896551724,-0.05507486921197438,,,,,235.86206896551724,1.6820276196413375,,,,,235.86206896551724,1.9688236694938999,,,,,235.86206896551724,2.591228790039172,,,,,235.86206896551724,4.287261410603117,,,,,235.86206896551724,4.442673228418691,,,,,235.86206896551724,5.253610480476786,,,,,235.86206896551724,6.869423745857329,,,,,235.86206896551724,6.9263395612013525,,,,,235.86206896551724,7.928045533596718,,,,,235.86206896551724,9.42824092479079,,,,,235.86206896551724,9.42415453083383,,,,,235.86206896551724,10.60994567905215,
,,,,,,,,,,,248.27586206896552,0.1820765169837597,,,,,248.27586206896552,2.1369794832110225,,,,,248.27586206896552,3.1496391814565987,,,,,248.27586206896552,3.58699280064306,,,,,248.27586206896552,5.392475149528768,,,,,248.27586206896552,6.760470288916751,,,,,248.27586206896552,7.084198116022077,,,,,248.27586206896552,8.618459505925273,,,,,248.27586206896552,10.30085888828901,,,,,248.27586206896552,10.663061661324669,,,,,248.27586206896552,11.854436717225198,,,,,248.27586206896552,13.75219178397663,,,,,248.27586206896552,14.297858179492508,
,,,,,,,,,,,260.6896551724138,-0.01599089131941664,,,,,260.6896551724138,1.6144955049706828,,,,,260.6896551724138,2.874023132077051,,,,,260.6896551724138,3.1071023722085034,,,,,260.6896551724138,4.043262120330021,,,,,260.6896551724138,5.778378718786523,,,,,260.6896551724138,6.551901140439558,,,,,260.6896551724138,6.83760396335116,,,,,260.6896551724138,8.242741820350147,,,,,260.6896551724138,9.773490406439027,,,,,260.6896551724138,10.144160849359297,,,,,260.6896551724138,10.76458007950776,,,,,260.6896551724138,12.464267737956012,
,,,,,,,,,,,273.1034482758621,0.0074861135432304745,,,,,273.1034482758621,1.4594461317256138,,,,,273.1034482758621,3.0136717226771403,,,,,273.1034482758621,3.6344965019806814,,,,,273.1034482758621,4.051989106084351,,,,,273.1034482758621,5.380866157744764,,,,,273.1034482758621,7.011758103189942,,,,,273.1034482758621,7.763967114530471,,,,,273.1034482758621,8.11901936199612,,,,,273.1034482758621,9.309751276099414,,,,,273.1034482758621,10.988125524235162,,,,,273.1034482758621,11.883620953222392,,,,,273.1034482758621,12.206705638530483,
,,,,,,,,,,,285.51724137931035,-0.12424981488095713,,,,,285.51724137931035,0.9572734341687976,,,,,285.51724137931035,2.416425273562675,,,,,285.51724137931035,3.371856747737629,,,,,285.51724137931035,3.6801406867877606,,,,,285.51724137931035,4.145884381346364,,,,,285.51724137931035,5.34302550458259,,,,,285.51724137931035,6.77404595010768,,,,,285.51724137931035,7.598807659971708,,,,,285.51724137931035,7.865307263006413,,,,,285.51724137931035,8.439363733894433,,,,,285.51724137931035,9.736242667331883,,,,,285.51724137931035,11.112315717830903,
,,,,,,,,,,,297.93103448275866,0.003805705324470318,,,,,297.93103448275866,0.9772789560165182,,,,,297.93103448275866,2.3907446918544157,,,,,297.93103448275866,3.7467352700983225,,,,,297.93103448275866,4.608889665301227,,,,,297.93103448275866,5.065885145179379,,,,,297.93103448275866,5.637157096572761,,,,,297.93103448275866,6.720644090953141,,,,,297.93103448275866,8.169706312995324,,,,,297.93103448275866,9.449030536745578,,,,,297.93103448275866,10.203766110619183,,,,,297.93103448275866,10.63679617978965,,,,,297.93103448275866,11.2930357511917,
,,,,,,,,,,,310.3448275862069,0.1300112314071685,,,,,310.3448275862069,1.0287712566712102,,,,,310.3448275862069,2.2754998483244484,,,,,310.3448275862069,3.704019800951936,,,,,310.3448275862069,5.019949654763328,,,,,310.3448275862069,6.008309576048933,,,,,310.3448275862069,6.685131032902419,,,,,310.3448275862069,7.286150964171012,,,,,310.3448275862069,8.100563623813317,,,,,310.3448275862069,9.267072860283154,,,,,310.3448275862069,10.676074357892821,,,,,310.3448275862069,12.046951606730284,,,,,310.3448275862069,13.12597436288244,
,,,,,,,,,,,322.75862068965523,0.08231353466088726,,,,,322.75862068965523,0.788026288255928,,,,,322.75862068965523,1.6902135668649134,,,,,322.75862068965523,2.781825640442567,,,,,322.75862068965523,3.9785627205008187,,,,,322.75862068965523,5.153253582973329,,,,,322.75862068965523,6.18771775707515,,,,,322.75862068965523,7.02096116028517,,,,,322.75862068965523,7.6740503311000605,,,,,322.75862068965523,8.241521202472187,,,,,322.75862068965523,8.852826037271651,,,,,322.75862068965523,9.619541000167674,,,,,322.75862068965523,10.589863850272561,
,,,,,,,,,,,335.17241379310343,0.32762525105443474,,,,,335.17241379310343,1.1940585761053157,,,,,335.17241379310343,2.13093440924409,,,,,335.17241379310343,3.1568659460675055,,,,,335.17241379310343,4.274004510094391,,,,,335.17241379310343,5.467641882418891,,,,,335.17241379310343,6.70892910363,,,,,335.17241379310343,7.9602091797445285,,,,,335.17241379310343,9.181977945937819,,,,,335.17241379310343,10.340186378254069,,,,,335.17241379310343,11.412534527105802,,,,,335.17241379310343,12.392593644237818,,,,,335.17241379310343,13.290994531446254,
,,,,,,,,,,,347.5862068965517,0.3324509109026073,,,,,347.5862068965517,1.1699277112361064,,,,,347.5862068965517,2.017221285427476,,,,,347.5862068965517,2.878663496468659,,,,,347.5862068965517,3.757924632817586,,,,,347.5862068965517,4.657841789789106,,,,,347.5862068965517,5.580286210131274,,,,,347.5862068965517,6.526075786794193,,,,,347.5862068965517,7.49493681916468,,,,,347.5862068965517,8.485516811002752,,,,,347.5862068965517,9.495447711662603,,,,,347.5862068965517,10.521456643508923,,,,,347.5862068965517,11.559518938037565,
,,,,,,,,,,,360.0,0.4708306250206722,,,,,360.0,1.4416612500413444,,,,,360.0,2.4124918750620163,,,,,360.0,3.3833225000826888,,,,,360.0,4.354153125103361,,,,,360.0,5.324983750124033,,,,,360.0,6.2958143751447055,,,,,360.0,7.2666450001653775,,,,,360.0,8.237475625186049,,,,,360.0,9.208306250206721,,,,,360.0,10.17913687522739,,,,,360.0,11.149967500248065,,,,,360.0,12.120798125268742,
