visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y,yerr,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,yerr,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y,yerr,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,yerr,bgra,gw_param_keys 4,gw_param_values 4,label 4,x,y,yerr,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,yerr,bgra,gw_param_keys 6,gw_param_values 6,label 6,x,y,yerr,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,yerr,bgra,gw_param_keys 8,gw_param_values 8,label 8,x,y,yerr,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,yerr,bgra,gw_param_keys 10,gw_param_values 10,label 10,x,y,yerr,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,yerr,bgra,gw_param_keys 12,gw_param_values 12,label 12,x,y,yerr,bgra
ymin,-13.830585738784109,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-0.8984641376496257,0.2,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-1.086491391963735,0.22000000000000003,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-0.19910352878250315,0.24,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,1.6616523655568156,0.26,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,3.9207016577501004,0.27999999999999997,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,5.697219536109039,0.30000000000000004,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,6.097749647413958,0.32000000000000006,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,4.544432936921696,0.3400000000000001,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,1.0311804085249774,0.36000000000000004,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-3.7830109964218703,0.38,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-8.688928365401308,0.4,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-12.233453267695491,0.42000000000000004,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-13.139806930180265,0.44000000000000006,
ymax,15.182124222577324,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-0.520470501211812,0.2,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-0.08056927954054405,0.22000000000000003,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,1.31508485341878,0.24,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,3.193115897164898,0.26,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,4.7567355413023185,0.27999999999999997,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,5.160537612483041,0.30000000000000004,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,3.827946331867008,0.32000000000000006,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,0.7065506996993859,0.3400000000000001,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-3.629142192157158,0.36000000000000004,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-8.074708377763946,0.38,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-11.279502522651576,0.4,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-12.04433432840546,0.42000000000000004,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-9.71935897114024,0.44000000000000006,
,,,,,,,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,0.05679461742463869,0.2,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,1.0639494898246165,0.22000000000000003,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,2.64849894557539,0.24,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,4.093867980999544,0.26,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,4.597223369128352,0.27999999999999997,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,3.577405858654523,0.30000000000000004,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,0.9307835080255458,0.32000000000000006,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-2.85542040615717,0.3400000000000001,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-6.781606030094243,0.36000000000000004,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-9.59685967532006,0.38,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-10.17468626450667,0.4,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-7.894411582834443,0.42000000000000004,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-2.9090199412010325,0.44000000000000006,
,,,,,,,,,,,6.842105263157895,0.3389427910024949,0.2,,,,,6.842105263157895,1.3609978916266594,0.22000000000000003,,,,,6.842105263157895,2.425804356813813,0.24,,,,,6.842105263157895,2.7675453962572516,0.26,,,,,6.842105263157895,1.7946478201952403,0.27999999999999997,,,,,6.842105263157895,-0.6524968173390113,0.30000000000000004,,,,,6.842105263157895,-4.176526293951408,0.32000000000000006,,,,,6.842105263157895,-7.882461045843113,0.3400000000000001,,,,,6.842105263157895,-10.616172744768663,0.36000000000000004,,,,,6.842105263157895,-11.3188460352915,0.38,,,,,6.842105263157895,-9.39304744430111,0.4,,,,,6.842105263157895,-4.964618341631361,0.42000000000000004,,,,,6.842105263157895,1.0520364876305615,0.44000000000000006,
,,,,,,,,,,,7.368421052631579,0.7119216791575146,0.2,,,,,7.368421052631579,1.65480794030879,0.22000000000000003,,,,,7.368421052631579,2.0942307244020992,0.24,,,,,7.368421052631579,1.422417073271935,0.26,,,,,7.368421052631579,-0.5808235145795448,0.27999999999999997,,,,,7.368421052631579,-3.6103470473490598,0.30000000000000004,,,,,7.368421052631579,-6.875352203024008,0.32000000000000006,,,,,7.368421052631579,-9.315349572599409,0.3400000000000001,,,,,7.368421052631579,-9.93407326422429,0.36000000000000004,,,,,7.368421052631579,-8.151398556539363,0.38,,,,,7.368421052631579,-4.060662449816368,0.4,,,,,7.368421052631579,1.499839911727249,0.42000000000000004,,,,,7.368421052631579,7.101787585882013,0.44000000000000006,
,,,,,,,,,,,7.894736842105263,0.9429408685278877,0.2,,,,,7.894736842105263,1.6021828084058605,0.22000000000000003,,,,,7.894736842105263,1.3480201959825155,0.24,,,,,7.894736842105263,-0.10476861033946279,0.26,,,,,7.894736842105263,-2.545391889116698,0.27999999999999997,,,,,7.894736842105263,-5.28654732722203,0.30000000000000004,,,,,7.894736842105263,-7.358042749854057,0.32000000000000006,,,,,7.894736842105263,-7.820924324275259,0.3400000000000001,,,,,7.894736842105263,-6.106450470383903,0.36000000000000004,,,,,7.894736842105263,-2.2702109652909988,0.38,,,,,7.894736842105263,2.9289504855253514,0.4,,,,,7.894736842105263,8.167188486448797,0.42000000000000004,,,,,7.894736842105263,11.888873275641668,0.44000000000000006,
,,,,,,,,,,,8.421052631578947,0.7421948330774742,0.2,,,,,8.421052631578947,0.7628167523902674,0.22000000000000003,,,,,8.421052631578947,-0.29267337437921453,0.24,,,,,8.421052631578947,-2.3097441900646,0.26,,,,,8.421052631578947,-4.703677292761091,0.27999999999999997,,,,,8.421052631578947,-6.591045949418397,0.30000000000000004,,,,,8.421052631578947,-7.084871567117241,0.32000000000000006,,,,,8.421052631578947,-5.621884960914149,0.3400000000000001,,,,,8.421052631578947,-2.214811622453677,0.36000000000000004,,,,,8.421052631578947,2.4600908019702192,0.38,,,,,8.421052631578947,7.183870097470168,0.4,,,,,8.421052631578947,10.505459287099512,0.42000000000000004,,,,,8.421052631578947,11.16298613560185,0.44000000000000006,
,,,,,,,,,,,8.947368421052632,0.4909046368717828,0.2,,,,,8.947368421052632,0.017672388709379747,0.22000000000000003,,,,,8.947368421052632,-1.40310535810699,0.24,,,,,8.947368421052632,-3.2881447474265246,0.26,,,,,8.947368421052632,-4.837067944714941,0.27999999999999997,,,,,8.947368421052632,-5.209443204299067,0.30000000000000004,,,,,8.947368421052632,-3.841586313573736,0.32000000000000006,,,,,8.947368421052632,-0.6983742679821905,0.3400000000000001,,,,,8.947368421052632,3.629444810944827,0.36000000000000004,,,,,8.947368421052632,8.027989820486335,0.38,,,,,8.947368421052632,11.148136996873022,0.4,,,,,8.947368421052632,11.804361847595338,0.42000000000000004,,,,,8.947368421052632,9.3701038978435,0.44000000000000006,
,,,,,,,,,,,9.473684210526315,-0.13968916380575558,0.2,,,,,9.473684210526315,-1.225113750245714,0.22000000000000003,,,,,9.473684210526315,-2.873042687866302,0.24,,,,,9.473684210526315,-4.362251317530607,0.26,,,,,9.473684210526315,-4.893342718410407,0.27999999999999997,,,,,9.473684210526315,-3.8963619746571885,0.30000000000000004,,,,,9.473684210526315,-1.283493123187202,0.32000000000000006,,,,,9.473684210526315,2.442733825343331,0.3400000000000001,,,,,9.473684210526315,6.273447447214335,0.36000000000000004,,,,,9.473684210526315,8.958640273099775,0.38,,,,,9.473684210526315,9.384187821950167,0.4,,,,,9.473684210526315,6.950997077822622,0.42000000000000004,,,,,9.473684210526315,1.8374120766853776,0.44000000000000006,
,,,,,,,,,,,10.0,-0.6852514810228989,0.2,,,,,10.0,-2.0418522602103986,0.22000000000000003,,,,,10.0,-3.423661730052698,0.24,,,,,10.0,-4.0667301792878305,0.26,,,,,10.0,-3.3890164406698204,0.27999999999999997,,,,,10.0,-1.245313604908379,0.30000000000000004,,,,,10.0,1.9525566668517822,0.32000000000000006,,,,,10.0,5.300432451344735,0.3400000000000001,,,,,10.0,7.644392870052071,0.36000000000000004,,,,,10.0,7.9366468539115385,0.38,,,,,10.0,5.599632170259464,0.4,,,,,10.0,0.7828453416512091,0.42000000000000004,,,,,10.0,-5.578737928381728,0.44000000000000006,
